epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,290.441,1.65247,2.04927,2.48515,1.43035,0,0.43415,0.34615,0.32466,0.14963,0.44302,0.33654,0.31561,0.09025,1.87931,2.1237,2.36265,1.63213,0,0.000663968,0.000663968,0.000663968
2,356.805,1.69017,1.87309,1.85297,1.46497,0,0.46502,0.34615,0.30357,0.149,0.49139,0.35052,0.31772,0.09859,1.808,1.87851,2.58136,1.61933,0,0.0012977,0.0012977,0.0012977
3,423.293,1.70884,1.92112,1.76223,1.46305,0,0.46726,0.50962,0.46593,0.22732,0.46632,0.48689,0.44687,0.13649,1.73475,1.9077,1.78425,1.52712,0,0.00189843,0.00189843,0.00189843
4,489.803,1.64338,1.87629,1.64733,1.41945,0,0.51534,0.53322,0.51376,0.26045,0.50267,0.5201,0.49656,0.15703,1.57863,1.80832,1.84348,1.44041,0,0.0018515,0.0018515,0.0018515
5,556.526,1.57734,1.81244,1.61588,1.38368,0,0.51698,0.53322,0.48136,0.24321,0.53179,0.53414,0.50024,0.15363,1.61383,1.73799,1.83313,1.44996,0,0.001802,0.001802,0.001802
6,622.828,1.53255,1.76562,1.54498,1.35981,0,0.5201,0.5703,0.51548,0.28257,0.52432,0.5743,0.51887,0.17859,1.4848,1.71124,1.5051,1.36695,0,0.0017525,0.0017525,0.0017525
7,689.104,1.5236,1.78048,1.51192,1.34771,0,0.56202,0.55188,0.5613,0.31324,0.58388,0.54457,0.57278,0.20329,1.45713,1.67933,1.42819,1.3294,0,0.001703,0.001703,0.001703
8,755.347,1.49906,1.73429,1.48583,1.33552,0,0.4886,0.5,0.47707,0.25536,0.50392,0.49724,0.48832,0.1712,1.52744,1.72206,1.65432,1.37797,0,0.0016535,0.0016535,0.0016535
9,821.39,1.46067,1.70538,1.42838,1.323,0,0.53274,0.52223,0.51329,0.26555,0.55188,0.52098,0.5189,0.17504,1.62494,1.76623,1.58912,1.43965,0,0.001604,0.001604,0.001604
10,887.147,1.44396,1.70994,1.43364,1.31974,0,0.58196,0.58916,0.58973,0.3199,0.60118,0.58217,0.59605,0.20755,1.46079,1.65438,1.38566,1.33964,0,0.0015545,0.0015545,0.0015545
11,953.581,1.43731,1.73804,1.40614,1.31567,0,0.53137,0.54895,0.5202,0.28445,0.53079,0.54108,0.50842,0.16959,1.45607,1.69926,1.59916,1.34271,0,0.001505,0.001505,0.001505
12,1019.56,1.41928,1.69322,1.39101,1.28786,0,0.55663,0.59261,0.57091,0.31668,0.56781,0.58392,0.5726,0.19629,1.441,1.75413,1.42435,1.32176,0,0.0014555,0.0014555,0.0014555
13,1085.61,1.40792,1.669,1.35965,1.2939,0,0.54508,0.5507,0.53951,0.29776,0.5435,0.55262,0.53111,0.18712,1.47316,1.68671,1.45342,1.35139,0,0.001406,0.001406,0.001406
14,1151.62,1.39971,1.70294,1.3843,1.30041,0,0.60386,0.56765,0.58312,0.32484,0.6076,0.55494,0.57795,0.20478,1.42425,1.66259,1.3954,1.32582,0,0.0013565,0.0013565,0.0013565
15,1218.02,1.38124,1.66705,1.3165,1.27375,0,0.50703,0.53584,0.50546,0.27272,0.52753,0.5236,0.51338,0.18067,1.45789,1.67177,1.62203,1.3642,0,0.001307,0.001307,0.001307
16,1283.9,1.37729,1.67076,1.32956,1.27521,0,0.57799,0.61976,0.59415,0.32387,0.58256,0.62238,0.60521,0.21264,1.45447,1.62307,1.34904,1.3627,0,0.0012575,0.0012575,0.0012575
17,1350.46,1.36088,1.63151,1.30925,1.27023,0,0.58475,0.61014,0.61664,0.35013,0.59253,0.60632,0.61045,0.22463,1.38009,1.62805,1.32,1.2981,0,0.001208,0.001208,0.001208
18,1416.73,1.37395,1.66454,1.31588,1.27199,0,0.58483,0.58566,0.57837,0.32231,0.59506,0.58479,0.58575,0.20646,1.45036,1.66754,1.43679,1.35816,0,0.0011585,0.0011585,0.0011585
19,1482.88,1.34292,1.66333,1.28694,1.25299,0,0.57648,0.61989,0.61387,0.34567,0.59363,0.61801,0.61453,0.21456,1.4114,1.64976,1.3252,1.31999,0,0.001109,0.001109,0.001109
20,1548.96,1.32564,1.61301,1.2402,1.24552,0,0.61756,0.61684,0.64081,0.36212,0.61522,0.62413,0.63845,0.22475,1.37231,1.62111,1.26445,1.29827,0,0.0010595,0.0010595,0.0010595
21,1615.24,1.32654,1.61843,1.26371,1.24113,0,0.58882,0.62325,0.61574,0.3576,0.58956,0.61888,0.61912,0.23022,1.33629,1.62503,1.2823,1.28725,0,0.00101,0.00101,0.00101
22,1681.41,1.31035,1.62063,1.25189,1.24055,0,0.61035,0.58304,0.59721,0.33777,0.61218,0.58479,0.59692,0.21421,1.3645,1.62677,1.32678,1.29027,0,0.0009605,0.0009605,0.0009605
