epoch,train_loss,train_dice,validation_loss,validation_dice,validation_pq
1,0.6614255989455703,0.36471283467658533,0.6168612622650418,0.5758915363684208,0.12693363513554654
2,0.590109524744616,0.526425445678808,0.5666828853844186,0.5117817803247441,0.07728822477058535
3,0.5448630722817357,0.5305011061299824,0.5275668812221324,0.5028436381876822,0.07772094198534733
4,0.5076400036403618,0.5248505209870729,0.4841055855948544,0.548185093603896,0.14096515076992394
5,0.4706930222345641,0.5350269716297722,0.4524048408107645,0.6294263450528038,0.23890905899581272
6,0.4255843234269258,0.5592089020658664,0.3990056809236312,0.6182348696437813,0.23397798372097522
7,0.3696080438848169,0.5982054930097116,0.34098691506498663,0.626947345465598,0.2546804781757883
8,0.3144287261048854,0.6280117059315996,0.2909144115518536,0.6437087318856717,0.2747960769144193
9,0.27066606505041385,0.6468214726181835,0.25645077775215963,0.6625155598621778,0.3000740734644278
10,0.2412146212297397,0.6571595522369403,0.23173714530538525,0.6685864960821098,0.31883190331570316
11,0.22380717004425177,0.6616363541659883,0.2191602724367345,0.6578873499249241,0.32277568238555976
12,0.20901022790457416,0.6706266949327648,0.20805416780816027,0.6669988432218014,0.3178828031287439
13,0.19953146249647472,0.6773035967024621,0.20171239257916895,0.6659632670094657,0.3198583039342526
14,0.19236753132222012,0.6822412326821027,0.19783500216063662,0.6652600482361938,0.3164593199672057
15,0.18782470369753115,0.6844860421528688,0.19334581864656075,0.6701207813594144,0.33971728604314133
16,0.1837516055250582,0.6885471586553985,0.19313331398032826,0.6679368871900133,0.33634478140390117
17,0.1814786312782735,0.6906208841513759,0.19133667277513877,0.6662138831148162,0.31220556033381863
18,0.18053117536803334,0.6897638952613764,0.19066290045983691,0.6690958336427749,0.3315041241832373
19,0.18016033525354513,0.6905751355528535,0.19028432711341678,0.6691900226482654,0.3349385176297406
20,0.17792684113417312,0.6950168249476932,0.18974412871888402,0.6700871106426773,0.33874581996353026
