threshold,dice,pq,sq,rq
0.1,0.6627584195354295,0.32522477628865143,0.6111521588590281,0.4997155569320262
0.15,0.6646907713757111,0.3288330390604341,0.6145918807084212,0.5028300891201879
0.2,0.6657908633042207,0.32796821438974677,0.616321939488306,0.49990062148270087
0.25,0.6666906202672928,0.3273487200781667,0.6183508125975374,0.4976644719213292
0.3,0.6674847434065034,0.3311836426492712,0.6160280157187215,0.5024135158336028
0.35,0.6679296916026158,0.33383253569029775,0.616471866563644,0.5064564688547493
0.4,0.6684219239274252,0.3335572114320077,0.617306005351557,0.50535943033213
0.45,0.6687650910426154,0.33257915290321405,0.6180990712465736,0.5030118217220951
0.5,0.6691884657664803,0.3363763690669823,0.6179999701874378,0.5086982335656518
0.55,0.6695965854723774,0.3376761776282678,0.6192209639522825,0.5099605604080039
0.6,0.6699914638161004,0.3388397236048044,0.6195526273351867,0.5112866512561015
0.65,0.6701420435307971,0.33786519260690234,0.6194296201077246,0.5097408607898432
0.7,0.6703653023980198,0.33941459950656294,0.6208664420503169,0.5105667013003323
0.75,0.6707244886761629,0.3377464030927634,0.6220590466914859,0.506650566348167
0.8,0.6711250381967323,0.3394581338740014,0.622161324681273,0.5092127165912653
0.85,0.6711858895737746,0.3416401360333407,0.6226320235253405,0.5116119384814414
0.9,0.6711542265665,0.34738240892280164,0.6265087096209555,0.5206510061792549
