threshold,close,min_size,dice,pq,sq,rq
0.3,0,0,0.6652457281527532,0.33783325541382375,0.6108650108017099,0.5172436230131295
0.3,0,128,0.6653717720809766,0.3767256360445213,0.6108650108017099,0.5772261769816288
0.3,0,256,0.6653551417570341,0.3889159592023337,0.6111207236998965,0.5955847773337789
0.3,0,512,0.6607320672977105,0.390961609686782,0.611635793571139,0.5980653707836144
0.3,0,1024,0.6287890365433774,0.35584610932642835,0.6036897081448086,0.5428329183810345
0.3,1,0,0.6652123948850271,0.33867240492716194,0.6108679401403188,0.5184831516660379
0.3,1,128,0.6653425189741082,0.3766921404872959,0.6108679401403188,0.5771437397129677
0.3,1,256,0.6653259100923117,0.38889598888793614,0.6111213469162782,0.5955265114608288
0.3,1,512,0.6607080679707921,0.3910292766293095,0.6115186363016759,0.5982626093914383
0.3,1,1024,0.6287632075635489,0.355880735466539,0.6035914636000079,0.5429629658097747
0.3,2,0,0.6650866503396201,0.33844460223467576,0.6102475525831017,0.5185032007218356
0.3,2,128,0.6651786303938914,0.37432349024393646,0.6102475525831017,0.5740064025915248
0.3,2,256,0.665213826415351,0.3866558266259284,0.6104894648623959,0.5925962015971802
0.3,2,512,0.6606150441104497,0.38852011580809714,0.6107023887489269,0.5949327430059224
0.3,2,1024,0.6287127925775279,0.35325635878522615,0.6032084905724654,0.5393702955606032
0.35,0,0,0.666864926391142,0.34021250214406284,0.6141347432537708,0.5175398788913289
0.35,0,128,0.6670440994393189,0.3804902926366238,0.6141347432537708,0.5794548539377129
0.35,0,256,0.6668025898193991,0.39184615243623994,0.6146069249528936,0.5963830575219978
0.35,0,512,0.6621436607587694,0.3937417750634797,0.6149836842858835,0.5986946878951972
0.35,0,1024,0.6293377370583335,0.3579136506200907,0.606419781258437,0.5432287538026751
0.35,1,0,0.6668141125130228,0.34074913803370477,0.6132177257945032,0.5194449662435757
0.35,1,128,0.6669932115220106,0.38079161951499657,0.6132177257945032,0.5809930440213367
0.35,1,256,0.6667852031093626,0.39182531557455114,0.6136898929174082,0.5974073606648851
0.35,1,512,0.662053480118371,0.39382124197757534,0.6140651261502978,0.5998742623605621
0.35,1,1024,0.6294594584889442,0.35789118798855424,0.605572996638185,0.5441999713839334
0.35,2,0,0.6667159432435464,0.3409178498760115,0.6125994560438186,0.5200897131712714
0.35,2,128,0.6668881632372102,0.3791621995422911,0.6125994560438186,0.5790081804751204
0.35,2,256,0.6666902101947039,0.38986054048313407,0.6130650741651887,0.5949032534420361
0.35,2,512,0.6619826292098966,0.3914844301740286,0.6132597212016521,0.5968318744801216
0.35,2,1024,0.6296874722764697,0.3561220193099112,0.6051136761199291,0.5418645361121472
0.4,0,0,0.6680039586266683,0.34399845436157417,0.616148047611032,0.5217686018119614
0.4,0,128,0.6681788278848867,0.38399747637216314,0.616148047611032,0.5832387593379492
0.4,0,256,0.667851705391214,0.394548851640857,0.6163853826890929,0.5989646526416015
0.4,0,512,0.6618952035401036,0.39887822803483897,0.6169616841817103,0.6046644819564283
0.4,0,1024,0.6287393280625313,0.35969024250758,0.6073331724846505,0.5452050768041807
0.4,1,0,0.6678911713705536,0.3447204959565063,0.6160133732548185,0.5231221515604899
0.4,1,128,0.6680697144130694,0.38400086909601217,0.6160133732548185,0.5834183684298273
0.4,1,256,0.6678329057998433,0.39410481410242865,0.6162499696836435,0.5984276291009585
0.4,1,512,0.6618060288901064,0.3985023584512614,0.6168088897142945,0.6042564020008949
