epoch,train_loss,train_dice,validation_loss,validation_dice
1,0.5989,0.183,0.4991,0.3226
2,0.3634,0.5033,0.2409,0.5885
3,0.2375,0.5683,0.22,0.593
4,0.2136,0.6013,0.2545,0.5176
5,0.2134,0.5995,0.1961,0.6303
6,0.2042,0.6147,0.2237,0.5722
7,0.2012,0.6201,0.1931,0.6336
8,0.202,0.6175,0.2025,0.6148
9,0.2001,0.6213,0.19,0.6409
10,0.1958,0.6294,0.2098,0.5995
11,0.197,0.6269,0.1912,0.6359
12,0.1933,0.6341,0.1885,0.641
13,0.1926,0.6348,0.198,0.6217
14,0.1936,0.6332,0.2005,0.6187
15,0.1962,0.6282,0.2081,0.6022
16,0.1936,0.633,0.2074,0.6033
17,0.1917,0.6363,0.2361,0.55
18,0.1904,0.6388,0.2021,0.6151
19,0.191,0.6378,0.1968,0.6256
20,0.1877,0.6443,0.1886,0.6415
