epoch,train_loss,train_dice,validation_loss,validation_dice
1,0.6629671665929979,0.23801817608171233,0.6161390225562824,0.4247909891887529
2,0.5824137346324495,0.5050164732166911,0.5588008267639657,0.4980077012138959
3,0.533684129158853,0.5213472875523804,0.5149256463586931,0.5557433670089089
4,0.4922724587302054,0.5285304108121555,0.4739888033570623,0.5829488717063644
5,0.44540527529515345,0.5430702153713473,0.42669610176566086,0.5491316216231803
6,0.3794063606274039,0.5856709764997657,0.3471814584449904,0.5914172258357488
7,0.3027687500931193,0.6185902948710817,0.27334610650525293,0.6360155119169393
8,0.24791972801348117,0.6378094154980875,0.22997194070082444,0.6552347060110437
9,0.21744886621204262,0.6488021533039604,0.214852740690553,0.6363775073042983
10,0.20252748273738264,0.6514926135687911,0.2011467835606908,0.643803551948987
11,0.19557651735047252,0.6518315751632449,0.1937338391528327,0.6506893369192197
12,0.19000240108437336,0.6550254364759099,0.19597950445477075,0.6369614525102294
13,0.18418638635583906,0.6613340860708772,0.19162759246558128,0.6442953976625516
14,0.18071159004943246,0.6654409430458883,0.18939347803239992,0.6454222684471456
15,0.18071638456275385,0.6631416152635816,0.18530664174161718,0.6509684932450566
16,0.17944819476483181,0.6642615565147353,0.18568318509138548,0.6495256118769202
