threshold,validation_dice
0.10000000149011612,0.6493381857872009
0.15000000596046448,0.6508114337921143
0.20000000298023224,0.6526989936828613
0.25,0.6534883379936218
0.30000001192092896,0.6543486714363098
0.3499999940395355,0.6548835039138794
0.4000000059604645,0.6552698016166687
0.44999998807907104,0.6553913950920105
0.5,0.6552346348762512
0.550000011920929,0.6550468802452087
0.6000000238418579,0.6547309160232544
0.6499999761581421,0.6546063423156738
0.699999988079071,0.6540768146514893
0.75,0.653105616569519
0.800000011920929,0.6523381471633911
0.8500000238418579,0.6501547694206238
0.8999999761581421,0.6468823552131653
