epoch,train_loss,train_dice,validation_loss,validation_dice,validation_pq
1,0.6633466369756694,0.2129319574793131,0.6200666829679139,0.5209276346412636,0.06389796563625559
2,0.5914498972833601,0.4752458370944702,0.5671036515010179,0.5013708253583965,0.0659157205620396
3,0.5441742520918029,0.5089939903865381,0.5243966932127462,0.5184125633105724,0.08045835462429746
4,0.5068979985808616,0.5140518615988289,0.4865828071825603,0.5384014266482472,0.12311891728786722
5,0.4713745545364787,0.5242098445632026,0.44967629429856704,0.5886418975492906,0.17012780547416728
6,0.43005667637950434,0.5496461879526711,0.407944825097654,0.6054470267521559,0.1804181961606072
7,0.3805556677781027,0.5765462085308863,0.34210600884708425,0.6106094728560137,0.20070619211530807
8,0.32892160080650606,0.606734073672342,0.31340314862290786,0.6001129989793315,0.17091503855595438
9,0.286008793315284,0.6248027969604686,0.27371138616426455,0.634773948136166,0.2374235674449624
10,0.2570492489905866,0.6348409449344238,0.24306719736940058,0.6553784836326125,0.25282115143101463
11,0.23859228423008552,0.6382188311507625,0.2274572318474922,0.6509932566824744,0.26290783880238006
12,0.224474030636972,0.6471348723244135,0.21820327780655854,0.6487755296344059,0.24937688622652343
13,0.21451317875763914,0.6510599931475543,0.20862981086299265,0.6548182175180616,0.25974849226405233
14,0.20804933913366375,0.6544375719858458,0.20690639123056062,0.6505413867048258,0.2517507663571311
15,0.20141279665988965,0.661366826695189,0.2019875442840644,0.6558797571757836,0.26512459407202443
16,0.19815081173078003,0.6629496142453059,0.20027498618738185,0.6549723263647425,0.25814536964525625
17,0.19452039135744792,0.6673132320565562,0.19718503537615376,0.6571905606568912,0.2671790549489417
18,0.1944377458568838,0.6645596549839299,0.1965724809106285,0.6590642620268653,0.26555633859046884
19,0.19378395278755547,0.6659138843084388,0.19677944957504612,0.6559467368372793,0.2673869386542728
20,0.19242189116498673,0.6679684917625067,0.19649766623621157,0.6566127609896232,0.2673977061152967
