threshold,validation_dice,validation_dice_native
0.10000000149011612,0.6123734228907745,0.613920384746409
0.15000000596046448,0.6125682784100749,0.6134804906087584
0.20000000298023224,0.6126812905800201,0.6130369340478385
0.25,0.6126729367598062,0.6126880813319372
0.30000001192092896,0.6123844848427334,0.6122645156045707
0.3499999940395355,0.6116627056151239,0.6118578232820288
0.4000000059604645,0.6112433347850649,0.6114421348904081
0.44999998807907104,0.6104091630642018,0.61099281792853
0.5,0.6092635436280732,0.6105640598518678
0.550000011920929,0.608048756087722,0.6100986976458546
0.6000000238418579,0.6068301513812738,0.6095302627852752
0.6499999761581421,0.605769438805714,0.6089875682258111
0.699999988079071,0.6039043571402828,0.6081828026680621
0.75,0.6021165963217844,0.6071781699954475
0.800000011920929,0.5991239725771528,0.6060719288175698
0.8500000238418579,0.596049601767592,0.6043691163448257
0.8999999761581421,0.5913073379457843,0.6008626021616628
