epoch,train_loss,train_dice,validation_loss,validation_dice,validation_pq,learning_rate,seconds
1,0.6585610817845274,0.3384394918453251,0.609486376745461,0.5729251377955259,0.1015870412336217,9.938441702975689e-05,136.57035819500004
2,0.5826427506479791,0.5526601269053735,0.5574715342042009,0.5809505506999819,0.1285651454379237,9.755282581475769e-05,114.69743452800003
3,0.5328216809567398,0.5540633209473719,0.511917654931898,0.6051896389990661,0.20805859508153535,9.45503262094184e-05,94.08433348799997
4,0.49168358325231365,0.5511473302494704,0.4758985190701908,0.4749737833599014,0.09462937741182476,9.045084971874738e-05,154.47280542400006
5,0.44763551809923435,0.5633380784978711,0.4250786678325495,0.5369845206391882,0.15368172029543553,8.535533905932738e-05,134.5245218089999
6,0.39140310486763474,0.5948750797083707,0.3691991368341728,0.6214384017900357,0.24356550871199595,7.938926261462366e-05,114.05595132400003
7,0.3280718437115836,0.6240885186243833,0.29485596760490235,0.6618887172116376,0.3174747729680801,7.269952498697734e-05,135.10270454600004
8,0.2725222198580339,0.6508662861476584,0.25469282013777444,0.6514582975803447,0.3086710187195002,6.545084971874738e-05,114.33527358700007
9,0.23428611678442335,0.6620984408186703,0.21977629710936689,0.6743710312895536,0.35149897983437023,5.782172325201156e-05,113.85044475699988
10,0.21234406337020842,0.6689901462778812,0.20627199624769788,0.6668842302849112,0.3290617858644492,5.000000000000001e-05,134.8590212470001
11,0.1993525379405516,0.6726633574117006,0.20117143545983104,0.6667815708978955,0.34199899866740735,4.217827674798848e-05,134.51302189099988
12,0.19036095875610665,0.6782068680154114,0.19267898211641424,0.6692175491633058,0.32777369594795824,3.454915028125264e-05,113.74712966099992
13,0.18272591192971885,0.6845780200347668,0.1808325614361368,0.6846185947580313,0.3696139070966504,2.730047501302267e-05,154.27136197599998
14,0.17752538173179316,0.6892161481991047,0.18616565568207283,0.6720566802346758,0.35603386582262797,2.0610737385376356e-05,114.23761289100003
15,0.17352748038322946,0.6932048824259905,0.18216196460836737,0.6739982071534971,0.36597100610496636,1.464466094067263e-05,113.74996561800026
16,0.17097608754184188,0.6959596242361922,0.17815660835194164,0.6795019092426761,0.37594709739389404,9.549150281252635e-06,153.7841014810001
17,0.1671998631966308,0.7016152019907789,0.1787617588801497,0.6780601220858431,0.3767573464302889,5.4496737905816115e-06,114.40110587399977
18,0.16709940329315218,0.7008115975110512,0.17961066943653942,0.6745149252872847,0.3633882863211851,2.4471741852423237e-06,94.14974537299986
19,0.16689732266453708,0.7003858162135612,0.1784663367465403,0.6766088436387964,0.3694977004416752,6.155829702431171e-07,154.36520718700012
20,0.16528074128356407,0.7035489623260692,0.17773696449557705,0.6776595995935021,0.36572228210976804,0.0,134.4706741269997
