epoch,train_loss,train_dice,validation_loss,validation_dice,validation_pq,learning_rate,seconds
1,0.6838062738742285,0.32965790373613924,0.6259422175277619,0.4234318738505685,0.02751712985337856,9.938441702975689e-05,91.39685921800003
2,0.5941019991064459,0.3731300889143372,0.562341120116104,0.45577862118122847,0.055727018469352546,9.755282581475769e-05,88.39368110900011
3,0.5394837610968729,0.39902919105337403,0.5175676416363236,0.28093654225916553,0.01032081520495232,9.45503262094184e-05,88.11817588899999
4,0.49554132797369144,0.424544156120136,0.4741595930601718,0.4798891041758498,0.09371690805353655,9.045084971874738e-05,67.64773070399997
5,0.4484749046888778,0.4800090656608222,0.42056164621601444,0.5321950411655494,0.1445146732918328,8.535533905932738e-05,108.32753344100001
6,0.3892968831265845,0.548900449633356,0.3590611219406128,0.630512842721135,0.24862383525062626,7.938926261462366e-05,67.66252506599994
7,0.3292858346206386,0.602971199869625,0.2953293221236686,0.6431468953571376,0.26000050222407817,7.269952498697734e-05,108.04198193299999
8,0.28524665295229695,0.6347046707703815,0.2685651437065305,0.6291052682336266,0.23947724191616424,6.545084971874738e-05,47.718291577999935
9,0.25914551790167645,0.6502066755561324,0.24549007415771484,0.6639736788512687,0.29693847090828274,5.782172325201156e-05,129.03121115099998
10,0.24120308504235455,0.6639281641540489,0.23283421975621105,0.6679068549850283,0.3045688301706263,5.000000000000001e-05,88.03784805699979
11,0.23186231083501646,0.6675316176066796,0.2337714624122755,0.6407633809560149,0.2631126386221277,4.217827674798848e-05,68.16697559599993
12,0.223016793044602,0.6751432082638508,0.21727079020802087,0.6784418381353807,0.31328667186479603,3.454915028125264e-05,67.69311118299993
13,0.21676887735361006,0.6840758575656549,0.22080015457240787,0.6692847277991165,0.31689022004891415,2.730047501302267e-05,108.32144765099997
14,0.21418118776708114,0.6844883534481855,0.21876919913221393,0.6623696914085975,0.3031430325964341,2.0610737385376356e-05,68.1786369399997
15,0.21031414930958572,0.6869057074673777,0.21256894543326113,0.6737305791773034,0.3121418703871682,1.464466094067263e-05,68.38907275099973
16,0.20609873652882207,0.6923211186942531,0.21398974090990935,0.6717843663101718,0.3309212565927361,9.549150281252635e-06,108.80564135199984
17,0.20399652254896436,0.6949526215108429,0.21255599614783857,0.6766767289409987,0.3342235446619722,5.4496737905816115e-06,88.4436784999998
18,0.20286726380690812,0.6959340399116035,0.2134471739361272,0.6782085768644637,0.3369258179950682,2.4471741852423237e-06,68.33811728199998
19,0.20201616784239687,0.6987405450242322,0.21030974943609632,0.6779573821633526,0.32438656930085713,6.155829702431171e-07,67.96818101899999
20,0.19967390542350164,0.6997258787959572,0.21127809284354102,0.6782288735611199,0.3286241067683668,0.0,108.3245672410003
