threshold,dice,pq,sq,rq
0.1,0.007232372785839648,0.00038129984128693127,0.0062934252822581605,0.0007115240303984597
0.15,0.0107356418184517,0.0043393270414532606,0.08102461771464045,0.007562051193004088
0.2,0.08634322014421256,0.01353057058045694,0.1258350801916472,0.02352910086537055
0.25,0.4332077549411856,0.023724917503449627,0.16368445332779785,0.04101525893727947
0.3,0.4488762072092115,0.03010477718553025,0.1946590974473754,0.052225434403045806
0.35,0.46233696068902636,0.0377188371997193,0.23487926270936169,0.06559309600026891
0.4,0.4739060143560508,0.04746531787983452,0.2639287979529037,0.08330305466441744
0.45,0.4843209745267366,0.054119480827820414,0.28797001364351466,0.09453117141979811
0.5,0.49365921456743234,0.06180960605229504,0.30969855501267873,0.10691589519853564
0.55,0.5023447216882831,0.06839963819081862,0.33475923234835964,0.11801795679341193
0.6,0.511238181360048,0.0781664308716597,0.3607905342179361,0.13448469765078874
0.65,0.5192909962542953,0.08460241045446124,0.3812426304078328,0.14438387353543275
0.7,0.5277707770482959,0.09958065179692534,0.4022293873783164,0.17089214090836508
0.75,0.5361335930734222,0.10977895628698481,0.41829943562489114,0.18708149366808066
0.8,0.5442487451566071,0.12412371464355437,0.44394155238336563,0.21172981790533077
0.85,0.5528406467209186,0.13943190348387863,0.46670954412157467,0.23713212997652627
0.9,0.5620225325729034,0.15265528481699567,0.48309904351269967,0.2565325927107044
