epoch,train_loss,train_dice,validation_loss,validation_dice,validation_pq
1,0.6182084691435764,0.3334924278393698,0.5671469431657058,0.46867204444295557,0.02854297860017154
2,0.5509207227241905,0.4532447554282012,0.5280618110352014,0.45497856432587386,0.035672222293757785
3,0.5185991794832291,0.45368150808379315,0.49912784402892435,0.43803846981574796,0.033379390255836236
4,0.49478875755080515,0.4631063665261044,0.4846996527451735,0.475197655629829,0.05870525425398472
5,0.47887228336878507,0.4689390022612683,0.4748906020582075,0.47767327639919027,0.05142033674411456
6,0.4670351460465131,0.46884379349186756,0.45194054355282753,0.46666946767067713,0.04114317685756403
7,0.45807668389220985,0.4714794152649697,0.4579268990183723,0.47018667777790824,0.04498487899452899
8,0.44679068942223826,0.47825063729922174,0.441480803419147,0.49185165350694593,0.06304490652541828
9,0.4401016101499941,0.4808916802663661,0.4536933087738308,0.47366350887001585,0.043966828398061875
10,0.43211277550266636,0.48014423757717567,0.43562349430202735,0.4624401824950461,0.03881846686842219
11,0.42547310507918706,0.4825778582477688,0.4336469739499177,0.4747580108000677,0.039786636634289586
12,0.4180129767203745,0.4847560543613162,0.4172898033666893,0.4747350861130376,0.03991236890458565
13,0.4137490445715618,0.4851290298528766,0.4136013076502896,0.49365921082397723,0.061809606052295046
14,0.40906461903238417,0.4870574765702335,0.43334853931291567,0.47575460874893205,0.03771230821020763
15,0.4037718735173086,0.487574870252136,0.39637629255740603,0.4921250289332932,0.04787644242187211
16,0.3973211723728748,0.48815323327374516,0.3999751044448311,0.48471805914002025,0.05011190417062864
17,0.39144824145745405,0.48960893402435346,0.3881316699925259,0.46798405996881964,0.04102083957846383
18,0.389320110564788,0.48499780209277465,0.39258758132979715,0.47092867235001673,0.037950356606982996
19,0.38409262074726097,0.48797651478285825,0.38491465389375856,0.4678133746195116,0.034918241613055324
20,0.37849529313094565,0.4880903582677948,0.3839730671524296,0.4741454009165069,0.042305883556020454
