epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,2514.46,1.4169,1.63849,1.33701,1.37125,0,0.58982,0.57607,0.56792,0.32007,0.59243,0.56957,0.57889,0.20745,1.45416,1.6078,1.40042,1.4835,0,0.0014456,0.0014456,0.0014456
30,2592.14,1.41524,1.65624,1.33135,1.37238,0,0.53994,0.59948,0.5429,0.29737,0.5588,0.57347,0.53927,0.19258,1.44424,1.62722,1.45205,1.44586,0,0.0014258,0.0014258,0.0014258
31,2669.37,1.40151,1.63088,1.34008,1.35657,0,0.5688,0.57347,0.54689,0.30234,0.55194,0.57827,0.53931,0.19323,1.46333,1.64604,1.46982,1.4651,0,0.001406,0.001406,0.001406
32,2746.56,1.40739,1.63678,1.35401,1.37217,0,0.55331,0.60338,0.55619,0.30798,0.575,0.58908,0.56439,0.19478,1.42009,1.64218,1.43421,1.4484,0,0.0013862,0.0013862,0.0013862
33,2823.6,1.37771,1.66484,1.32767,1.34067,0,0.49184,0.44863,0.41245,0.22873,0.47523,0.45644,0.41893,0.14443,1.48744,1.76456,1.95156,1.48524,0,0.0013664,0.0013664,0.0013664
34,2900.65,1.38589,1.6661,1.33483,1.36042,0,0.566,0.64629,0.59844,0.33519,0.57593,0.63329,0.6044,0.21268,1.4012,1.60335,1.34415,1.42346,0,0.0013466,0.0013466,0.0013466
35,2978.37,1.36954,1.62776,1.33744,1.33094,0,0.61157,0.61248,0.58891,0.32671,0.61209,0.60988,0.58991,0.20123,1.44884,1.67537,1.42173,1.45947,0,0.0013268,0.0013268,0.0013268
36,3055.51,1.38279,1.65115,1.31591,1.34141,0,0.56188,0.58205,0.54971,0.30851,0.57165,0.57615,0.56304,0.20328,1.40483,1.62673,1.43335,1.43322,0,0.001307,0.001307,0.001307
37,3132.61,1.36638,1.64508,1.28781,1.35417,0,0.57156,0.62809,0.5961,0.34387,0.587,0.62809,0.60565,0.2232,1.34422,1.58001,1.29963,1.40534,0,0.0012872,0.0012872,0.0012872
38,3210.09,1.36075,1.6374,1.31605,1.34542,0,0.57675,0.51743,0.51655,0.28655,0.59265,0.50845,0.52771,0.18764,1.4199,1.66407,1.63209,1.45676,0,0.0012674,0.0012674,0.0012674
39,3287.07,1.35368,1.62823,1.25935,1.33091,0,0.59585,0.58282,0.59194,0.33236,0.60313,0.60671,0.60012,0.21078,1.38717,1.61781,1.35433,1.41384,0,0.0012476,0.0012476,0.0012476
40,3364.15,1.3403,1.60742,1.26496,1.34539,0,0.624,0.61638,0.60454,0.34546,0.6324,0.59428,0.60473,0.22063,1.34377,1.57491,1.31352,1.40092,0,0.0012278,0.0012278,0.0012278
41,3441.23,1.33282,1.59245,1.26953,1.32375,0,0.5237,0.52796,0.52233,0.29157,0.55612,0.52786,0.53446,0.19336,1.40595,1.62351,1.57892,1.4407,0,0.001208,0.001208,0.001208
42,3518.2,1.32703,1.58029,1.24561,1.31192,0,0.54465,0.56306,0.54214,0.30333,0.55899,0.55548,0.54344,0.19221,1.41526,1.66186,1.52614,1.44563,0,0.0011882,0.0011882,0.0011882
43,3595.13,1.34597,1.61966,1.25896,1.33148,0,0.54062,0.51365,0.50103,0.28059,0.57832,0.50294,0.50716,0.17368,1.44301,1.65297,1.60681,1.47533,0,0.0011684,0.0011684,0.0011684
