epoch,train_loss,train_dice,validation_loss,validation_dice,validation_pq,learning_rate,seconds
1,0.6792225636806585,0.36950592980652275,0.6213380384021963,0.5902674511163193,0.059924258367229914,9.938441702975689e-05,103.01337481999997
2,0.5856756336797918,0.5579804769845377,0.5517693447643484,0.5809255182390383,0.14026043071540562,9.755282581475769e-05,60.99910660400002
3,0.530181990480665,0.5578797821208329,0.5093099270346602,0.5801440572597572,0.1722897879559632,9.45503262094184e-05,59.933471786999974
4,0.4842383659128005,0.5593536187497526,0.46210043952309876,0.5930143648527078,0.17559052528172658,9.045084971874738e-05,60.872689857999944
5,0.4303169327944063,0.5900751134082022,0.40628282505379626,0.6185064806991791,0.2502253428460118,8.535533905932738e-05,60.33431636800003
6,0.35211653208672095,0.6375023545591393,0.3272683923766458,0.6139071005410708,0.2566411930221412,7.938926261462366e-05,60.46496439500004
7,0.26828727976319755,0.673092413808751,0.26024085001127256,0.6333214980416763,0.28140271403366235,7.269952498697734e-05,60.937784528000066
8,0.2118631715475,0.7049649469053164,0.23491670120749952,0.6142522039172631,0.3179178913913001,6.545084971874738e-05,60.32411085199999
9,0.1800446897669492,0.7242044175387544,0.20910111184303576,0.6436593451077427,0.3002087543968481,5.782172325201156e-05,60.69648112499999
10,0.15902290297341226,0.7434221843238897,0.21451095407883797,0.6195664968390977,0.31575258837268133,5.000000000000001e-05,60.4693554989999
11,0.1497134721067351,0.7477696181772591,0.1953876345644336,0.6494887918308653,0.31152741891888985,4.217827674798848e-05,60.33791935699992
12,0.13628451496665248,0.7668932450983675,0.20264449997766484,0.6285018395780022,0.30953365003478894,3.454915028125264e-05,60.244551881999996
13,0.12895115787910325,0.7759391271902771,0.19551656091001612,0.6398981728735513,0.31759988420594243,2.730047501302267e-05,59.787309064000056
14,0.1235427393866372,0.7828239719200201,0.19572526101882642,0.635147855984584,0.320327257810185,2.0610737385376356e-05,60.38998648300003
15,0.11784070817195824,0.7916258181489004,0.19817817484486033,0.6291885353377074,0.3149937482464292,1.464466094067263e-05,60.59659980599986
16,0.11377073830835105,0.7980083592728862,0.19602762321395986,0.6330241458891158,0.30052869812086025,9.549150281252635e-06,60.86005130600006
17,0.1100356647962241,0.8042535155029411,0.19494086574520586,0.6350443663306091,0.30879560661302713,5.4496737905816115e-06,60.93811318100006
18,0.10782107296707061,0.8079343404943514,0.2022951071607996,0.61943280008735,0.2991013633765934,2.4471741852423237e-06,60.19223527300005
19,0.10653761991767714,0.8101399412691842,0.20360307818686468,0.6167556636761937,0.29068713966082016,6.155829702431171e-07,60.418258588999834
