epoch,train_loss,train_dice,validation_loss,validation_dice,validation_pq,learning_rate,seconds
1,0.1582940891838921,0.742451240929029,0.2039496569767506,0.6579794209117467,0.34198990518500305,2.9672214011007087e-05,109.60811066199994
2,0.1461956733147505,0.7556942892620532,0.20284207103520455,0.6531919590297676,0.34730309008504584,2.8703181864639013e-05,67.24721782000029
3,0.13880008592218313,0.762787527188613,0.19483401930543798,0.6615550098515824,0.3440973323798034,2.7135254915624213e-05,67.13578162700014
4,0.13310974216854513,0.7685167350540908,0.19421247229773617,0.6606719183680964,0.34967285620878447,2.5036959095382875e-05,67.83977210100011
5,0.1283252547915817,0.7742543665081711,0.19216136942953754,0.6614207614987858,0.3619575744361238,2.25e-05,67.27007323399994
6,0.12305985314743167,0.7812496671617936,0.1967295935520759,0.6518734044759791,0.349641284153178,1.9635254915624214e-05,67.08132671199974
7,0.12167471748242524,0.7818649969835813,0.19390822805949218,0.6560673064916117,0.34080109858747804,1.6567926949014805e-05,67.25671856700001
8,0.11809121877862717,0.7869155607043786,0.19353765487318209,0.6556737917771815,0.35047663134574136,1.3432073050985203e-05,67.23879901500004
9,0.11429849057103776,0.7927745951107308,0.19213356544985574,0.657598224635458,0.3532154203434503,1.0364745084375792e-05,67.55234723500007
