epoch,train_loss,train_dice,validation_loss,validation_dice,validation_pq,learning_rate,seconds
1,0.7003438758374054,0.329782979484258,0.6547790268469139,0.5888366124333715,0.044518666998607355,9.938441702975689e-05,81.59685172900004
2,0.6301186337645558,0.5283923856750972,0.6089752912521362,0.4596041608491593,0.028434810433064416,9.755282581475769e-05,39.7286500780001
3,0.5857299487920054,0.5447642446781641,0.5682159641085291,0.560927642704186,0.12526332365308182,9.45503262094184e-05,39.7604135229999
4,0.5514456271728541,0.5561494136017596,0.5382034295409389,0.5220365044633313,0.11049705226454161,9.045084971874738e-05,39.5402889909999
5,0.5234979779867086,0.552166931783924,0.5142320845959455,0.5278515641153212,0.10484543947149845,8.535533905932738e-05,39.84528622100015
6,0.49821684076861417,0.5680724856096572,0.49062574086104627,0.5865312588770362,0.17856347041654272,7.938926261462366e-05,39.70273331500016
7,0.47263950416926737,0.5936609607025077,0.4668720752529844,0.5688819883565236,0.18271711092538234,7.269952498697734e-05,39.68115296299993
8,0.44495439812069926,0.6117563598020852,0.44010118937351295,0.5892335910138304,0.18988432742969322,6.545084971874738e-05,39.713274643999966
9,0.4130919900491908,0.6418333716705735,0.4093352043064388,0.6351460615280828,0.27299913344510507,5.782172325201156e-05,39.793122075000156
10,0.37848482996274946,0.670466501681343,0.38103619535293803,0.6176804761813248,0.24483566250101707,5.000000000000001e-05,39.858141624000154
11,0.3437116172121289,0.6999308813781339,0.3557870698398387,0.6195684886617784,0.2523350943011055,4.217827674798848e-05,40.26644980800006
12,0.31203024657117745,0.7233447341279282,0.3305967913929527,0.6488634638078125,0.2791976743458697,3.454915028125264e-05,40.03245469700005
13,0.28553544783255025,0.745398395594442,0.3165058013955517,0.6532029551941978,0.3162176496941581,2.730047501302267e-05,39.974910893000015
14,0.2587042821326391,0.7629050525922277,0.2929565021272242,0.6571044604528596,0.31880208783176744,2.0610737385376356e-05,39.53225049299999
15,0.2424780648951721,0.7747911563435183,0.28727831678277643,0.6618911029746557,0.32543963015233524,1.464466094067263e-05,40.07193000799998
16,0.23121595362855274,0.7851008194162951,0.2791085809292878,0.6636126341273809,0.3257232567687631,9.549150281252635e-06,39.97032781500002
17,0.22365463394888627,0.7917920776744376,0.2737031094068606,0.6615191132081342,0.3186494464969232,5.4496737905816115e-06,39.78955744299992
18,0.21895083160249643,0.7962069427613994,0.27823159416046367,0.650148619436725,0.30199341227927745,2.4471741852423237e-06,39.85895633799987
19,0.21614519496775308,0.7999774777208897,0.2724282096123554,0.6594669697274834,0.30045991503274405,6.155829702431171e-07,39.945739099999855
20,0.2152456564707883,0.8012671952392452,0.27360099342447763,0.6556274873339929,0.29747681982574775,0.0,39.944612034999864
